0.44,0.42871,0.4342,0.43334,0.43286,0.43863,0.40967,0.42326,0.44208,0.44005,0.41542,0.4099,0.44291,0.44005,0.4244,0.4346,0.43878,0.42574,0.43818,0.42206,0.44247
0.43242,0.44804,0.3894,0.45064,0.44551,0.38458,0.44189,0.44369,0.44063,0.45211,0.45639,0.44646,0.42506,0.43743,0.4545,0.44947,0.4513,0.38855,0.44545,0.44547,0.427
0.41804,0.44279,0.41139,0.43827,0.43355,0.43351,0.44813,0.40831,0.43199,0.43332,0.44013,0.40695,0.41649,0.41782,0.43549,0.43792,0.4397,0.44948,0.41785,0.43073,0.42226
0.44791,0.43992,0.43992,0.44789,0.45028,0.45115,0.40893,0.44129,0.45116,0.43867,0.44299,0.43977,0.43821,0.44398,0.44833,0.43155,0.43976,0.44105,0.44788,0.43171,0.44849
0.42188,0.43855,0.43466,0.43004,0.4396,0.44952,0.43595,0.42513,0.44355,0.44387,0.44815,0.42233,0.41404,0.41737,0.46418,0.41922,0.41218,0.45841,0.42781,0.4589,0.47336
0.41773,0.43492,0.41364,0.44831,0.43836,0.44032,0.45751,0.40879,0.43949,0.43969,0.44939,0.44873,0.43318,0.44415,0.45037,0.42978,0.43201,0.44349,0.42936,0.43505,0.43822
0.45235,0.43946,0.43836,0.44769,0.4485,0.43931,0.42022,0.44168,0.44203,0.43067,0.41829,0.4476,0.43763,0.42118,0.39778,0.43929,0.45253,0.43171,0.46219,0.43758,0.42409
0.40481,0.44686,0.45044,0.44425,0.44829,0.44106,0.44052,0.43518,0.43897,0.4498,0.44667,0.44487,0.42511,0.41216,0.42883,0.41816,0.44886,0.43406,0.44275,0.44755,0.4209
0.41637,0.38307,0.44352,0.40624,0.43886,0.42748,0.42115,0.45,0.41485,0.44083,0.43239,0.44413,0.39734,0.44605,0.43892,0.43851,0.44189,0.43584,0.44488,0.43138,0.44122
0.44559,0.43112,0.44109,0.43652,0.44254,0.44173,0.43774,0.43301,0.43993,0.44738,0.45123,0.41944,0.44238,0.44635,0.43595,0.4393,0.42968,0.45871,0.45011,0.43681,0.44522
0.44717,0.38673,0.40731,0.39865,0.43201,0.44346,0.44538,0.45252,0.45884,0.43775,0.44453,0.40091,0.3974,0.43278,0.43456,0.41265,0.41633,0.44461,0.44392,0.45655,0.46644
0.41533,0.44026,0.41766,0.43955,0.44078,0.44403,0.45744,0.38611,0.43209,0.43702,0.44237,0.4518,0.43775,0.43962,0.44264,0.43958,0.44082,0.43888,0.44128,0.4366,0.42811
0.42274,0.44779,0.45127,0.44354,0.44511,0.42636,0.44631,0.43986,0.40673,0.43699,0.42808,0.44053,0.42877,0.44482,0.4417,0.44102,0.43729,0.44045,0.4339,0.41987,0.42716
0.42563,0.43538,0.42816,0.44325,0.43437,0.42725,0.42568,0.42316,0.44188,0.42893,0.42876,0.40733,0.43397,0.43261,0.43966,0.42692,0.43175,0.4395,0.39718,0.43505,0.43558
